ID,Name,Manufacturer,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Maintenance,actual cost
43,i20 Magna,Hyundai,2014,35487,Petrol,Manual,1,1197,82.9,5,18.5,474000.0,27500,725000
44,Elantra 2.0,Hyundai,2014,46374,Petrol,Automatic,1,1999,149.92,5,14.62,885000.0,50000,2000000
45,Corolla Altis,Toyota,2016,52001,Petrol,Automatic,1,1798,138.03,5,14.28,1011000.0,50000,1600000
46,Elantra CRDi,Hyundai,2008,58005,Diesel,Manual,2,1991,112.2,5,14.9,425000.0,50000,2000000
47,Innova Crysta,Toyota,2012,70704,Petrol,Manual,1,2694,163.7,7,11.25,1095000.0,55000,1999000
48,Xcent 1.1,Hyundai,2014,75000,Diesel,Manual,1,1120,71.0,5,24.4,385000.0,25000,700000
49,Thar CRDe,Mahindra,2012,75800,Diesel,Manual,2,2498,105.0,6,16.55,550000.0,60000,1600000
50,A4 2.0,Audi,2015,13648,Diesel,Automatic,1,1968,174.33,5,17.11,2143000.0,275000,5000000
51,Swift LDI,Maruti,2014,52000,Diesel,Manual,1,1248,74.0,5,22.9,425000.0,39160,775000
52,Swift Ldi,Maruti,2014,53000,Diesel,Manual,1,1248,75.0,5,17.8,330000.0,39160,775000
53,Swift VDI,Maruti,2013,65650,Diesel,Manual,1,1248,74.0,5,28.4,385000.0,39160,775000
54,Grand i10,Hyundai,2015,54000,Petrol,Manual,3,1197,82.0,5,18.9,360000.0,22600,725000
55,Vento 2013-2015,Volkswagen,2015,39000,Petrol,Manual,1,1598,103.2,5,15.04,399000.0,35484,1300000
56,KWID RXT,Renault,2017,16542,Petrol,Manual,1,799,53.3,5,25.17,330000.0,19760,550000
57,i10 Asta,Hyundai,2010,32000,Petrol,Manual,1,1197,78.9,5,20.36,206999.99999999997,22600,725000
58,X-Trail SLX,Nissan,2010,121812,Diesel,Automatic,1,1995,147.6,5,13.29,775000.0,350000,5000000
59,Zen Estilo,Maruti,2010,39300,Petrol,Manual,1,998,67.1,5,18.2,225000.0,20000,400000
60,Innova Crysta,Toyota,2017,22000,Diesel,Manual,1,2393,147.8,8,13.68,1650000.0,55000,1999000
61,Figo Diesel,Ford,2010,72000,Diesel,Manual,1,1399,68.0,5,20.0,275000.0,34697,700000
62,New C-Class,MercedesBenz,2015,58000,Petrol,Automatic,1,1796,186.0,5,11.74,2670000.0,650000,7000000
63,New C-Class,MercedesBenz,2011,65000,Diesel,Manual,2,2148,170.0,5,15.8,1000000.0,650000,7000000
64,Indica V2,Tata,2016,178000,Diesel,Manual,1,1396,69.0,5,25.0,250000.0,25000,500000
65,A4 2.0,Audi,2012,65664,Diesel,Automatic,1,1968,140.0,5,16.55,1350000.0,275000,5000000
66,City ZX,Honda,2007,63000,Petrol,Automatic,2,1497,78.0,5,16.4,185000.0,36600,1425000
67,C-Class Progressive,MercedesBenz,2019,15369,Diesel,Automatic,1,1950,194.0,5,0.0,3567000.0,400000,7000000
68,Ertiga SHVS,Maruti,2016,63000,Diesel,Manual,1,1248,88.5,7,24.52,815000.0,49850,1050000
69,Creta 1.4,Hyundai,2018,13000,Diesel,Manual,1,1396,88.7,5,22.1,1050000.0,38536,1500000
70,Cayenne 2009-2014,Porsche,2008,73000,Petrol,Automatic,1,4806,500.0,5,8.5,1450000.0,1100000,16000000
71,XUV500 W8,Mahindra,2015,55729,Diesel,Manual,1,2179,140.0,7,15.1,965000.0,37637,1600000
72,i10 Sportz,Hyundai,2012,45178,Petrol,Automatic,1,1197,78.9,5,16.95,348000.0,22600,725000
73,Terrano XV,Nissan,2015,56066,Diesel,Manual,1,1461,108.5,5,19.64,692000.0,60000,1200000
74,Brio VX,Honda,2016,37300,Petrol,Automatic,2,1198,86.8,5,16.5,646000.0,25000,500000
75,A6 2.0,Audi,2014,56000,Diesel,Automatic,2,1968,187.74,5,18.53,2950000.0,330000,6500000
76,Fiesta 1.4,Ford,2008,111111,Diesel,Manual,1,1399,74.0,5,17.8,200000.0,35000,900000
77,Innova 2.0,Toyota,2006,230000,Petrol,Manual,3,1998,132.0,8,12.4,450000.0,85000,2000000
78,Innova 2.5,Toyota,2012,104000,Diesel,Manual,1,2494,102.0,7,12.8,1175000.0,85000,2000000
79,Santro Xing,Hyundai,2005,87591,Petrol,Manual,1,1086,74.0,5,0.0,130000.0,26130,500000
80,Swift VDI,Maruti,2012,95100,Diesel,Manual,1,1248,74.0,5,22.9,375000.0,39160,775000
81,Zest Revotron,Tata,2017,70000,Petrol,Manual,1,1193,88.7,5,17.57,450000.0,30000,800000
82,Amaze SX,Honda,2016,54944,Petrol,Manual,1,1198,86.7,5,18.0,482000.0,30310,889000
83,Figo Diesel,Ford,2012,70337,Diesel,Manual,1,1399,68.0,5,20.0,280000.0,34697,700000
84,Ritz VDi,Maruti,2013,99638,Diesel,Manual,1,1248,73.94,5,23.2,311000.0,25000,650000
85,City i,Honda,2009,52000,Petrol,Manual,1,1497,117.3,5,17.8,325000.0,36600,1425000
86,5 Series,BMW,2011,75000,Diesel,Automatic,2,1995,218.0,5,16.73,1390000.0,500000,7200000
87,i10 Sportz,Hyundai,2009,95980,Petrol,Manual,1,1197,78.9,5,20.36,225000.0,22600,725000
88,Grand i10,Hyundai,2016,16000,Petrol,Manual,1,1197,82.0,5,18.9,575000.0,22600,725000
89,Santro Xing,Hyundai,2007,73745,Petrol,Manual,1,1086,74.0,5,17.0,210000.0,26130,500000
90,Amaze SX,Honda,2016,18949,Petrol,Manual,1,1198,86.7,5,17.8,500000.0,30310,889000
91,Fortuner 4x2,Toyota,2014,107000,Diesel,Manual,1,2982,168.5,7,13.0,1650000.0,180000,4500000
92,A6 2011-2015,Audi,2018,48367,Diesel,Automatic,1,1968,174.33,5,17.68,3958000.0,350000,6500000
93,Ecosport 1.5,Ford,2013,57000,Diesel,Manual,1,1498,89.84,5,22.7,550000.0,47435,1100000
94,XUV500 W8,Mahindra,2014,58000,Diesel,Manual,1,2179,140.0,7,15.1,810000.0,37637,1600000
95,Amaze SX,Honda,2015,30000,Diesel,Manual,1,1498,98.6,5,25.8,350000.0,42830,889000
96,Polo Diesel,Volkswagen,2013,34212,Diesel,Manual,1,1199,73.9,5,22.07,279000.0,31360,800000
97,Verna Transform,Hyundai,2010,70002,Diesel,Manual,1,1493,110.0,5,16.2,345000.0,37450,1425000
98,Wagon R,Maruti,2016,62000,Petrol,Manual,1,998,67.1,5,18.9,445000.0,27670,750000
99,Polo Petrol,Volkswagen,2010,62001,Petrol,Manual,1,1598,103.5,5,15.26,265000.0,31360,800000
100,i20 1.4,Hyundai,2011,78958,Diesel,Manual,2,1396,90.0,5,23.0,380000.0,27500,725000
101,i20 Asta,Hyundai,2014,30180,Petrol,Manual,1,1197,82.85,5,18.5,465000.00000000006,27500,725000
102,GO Plus,Datsun,2017,32851,Petrol,Manual,1,1198,67.0,7,19.83,395000.0,20000,500000
103,A4 3.0,Audi,2010,30000,Diesel,Automatic,1,2967,241.4,5,14.94,980000.0000000001,325000,5500000
104,i20 2015-2017,Hyundai,2009,66000,Petrol,Manual,2,1197,80.0,5,17.0,270000.0,27500,725000
105,Omni 5,Maruti,2010,93850,Petrol,Manual,1,796,35.0,5,14.0,241000.0,25000,650000
106,Etios Liva,Toyota,2014,53000,Petrol,Manual,1,1197,78.9,5,17.71,390000.0,25000,700000
107,XF 3.0,Jaguar,2011,78000,Diesel,Automatic,2,2993,270.9,5,14.74,2400000.0,350000,6200000
108,XUV500 W8,Mahindra,2012,65000,Diesel,Manual,2,2179,140.0,7,16.0,575000.0,37637,1600000
109,Verna 1.6,Hyundai,2014,40000,Diesel,Automatic,1,1582,126.32,5,22.32,525000.0,37450,1425000
110,Innova Crysta,Toyota,2017,30000,Diesel,Automatic,1,2755,171.5,7,11.36,1925000.0,55000,1999000
111,Eeco 5,Maruti,2017,38053,Petrol,Manual,1,1196,73.0,5,15.1,391000.0,25000,600000
112,Nano Twist,Tata,2014,25500,Petrol,Manual,1,624,37.5,4,25.4,215000.0,12000,250000
113,3 Series,BMW,2015,56087,Diesel,Automatic,1,1995,190.0,5,22.69,2075000.0,450000,5500000
114,Civic 2006-2010,Honda,2010,71088,Petrol,Manual,1,1799,130.0,5,13.5,335000.0,36600,1425000
115,Innova 2.5,Toyota,2014,55000,Diesel,Manual,1,2494,100.6,7,12.99,1111000.0,85000,2000000
116,V40 Cross,Volvo,2014,32700,Diesel,Automatic,1,1984,150.0,5,23.3,2000000.0,120000,3000000
117,Micra XV,Nissan,2016,39882,Petrol,Automatic,1,1198,75.94,5,19.15,655000.0,25000,700000
118,5 Series,BMW,2009,128000,Petrol,Automatic,1,2497,215.0,5,10.8,700000.0,500000,7200000
119,Vitara Brezza,Maruti,2016,55000,Diesel,Manual,1,1248,88.5,5,24.3,750000.0,39170,1125000
120,Santro Xing,Hyundai,2005,102000,Petrol,Manual,2,1086,74.0,5,17.0,85000.0,26130,500000
121,B Class,MercedesBenz,2014,53753,Diesel,Automatic,2,2143,107.3,5,15.0,1675000.0,200000,3200000
122,Verna CRDi,Hyundai,2018,10250,Diesel,Manual,1,1582,126.2,5,22.0,1095000.0,37450,1425000
123,Wagon R,Maruti,2011,43874,Petrol,Manual,1,998,67.1,5,18.9,245000.00000000003,27670,750000
124,Nano XTA,Tata,2017,32684,Petrol,Automatic,1,624,37.48,4,21.9,323000.0,12000,250000
125,Scorpio VLX,Mahindra,2014,42000,Diesel,Manual,1,2179,120.0,8,12.05,775000.0,60000,1500000
126,New C-Class,MercedesBenz,2009,28352,Petrol,Automatic,1,1796,178.0,5,11.7,935000.0,650000,7000000
127,Wagon R,Maruti,2013,89900,CNG,Manual,1,998,58.16,5,26.6,325000.0,27670,750000
128,CR-V 2.4,Honda,2007,47700,Petrol,Manual,2,2354,152.0,5,10.8,525000.0,140000,3000000
129,Vento 1.5,Volkswagen,2015,55000,Diesel,Automatic,1,1498,103.2,5,21.21,725000.0,35484,1300000
130,Ciaz VXi,Maruti,2017,44285,Petrol,Manual,1,1373,91.1,5,20.73,747000.0,32235,1030000
131,XUV500 AT,Mahindra,2016,54000,Diesel,Automatic,1,2179,140.0,7,16.0,1325000.0,37637,1600000
132,Ritz VXI,Maruti,2016,30232,Petrol,Manual,1,1197,85.8,5,21.1,581000.0,25000,650000
133,Alto K10,Maruti,2014,88500,Petrol,Manual,1,998,67.1,5,24.07,260000.0,20000,400000
134,SLC 43,MercedesBenz,2017,13372,Petrol,Automatic,1,2996,362.07,2,19.0,5400000.0,700000,8200000
135,Verna VTVT,Hyundai,2019,12645,Petrol,Automatic,1,1591,121.3,5,17.0,1150000.0,33350,1425000
136,Alto LXi,Maruti,2010,94385,Petrol,Manual,2,796,46.3,5,19.7,160000.0,20000,400000
137,1 Series,BMW,2015,31821,Diesel,Automatic,1,1995,143.0,5,20.58,1722000.0,250000,2700000
138,Jazz 1.2,Honda,2015,12000,Petrol,Automatic,1,1199,88.7,5,19.0,600000.0,32446,900000
139,Civic 2006-2010,Honda,2012,88578,Petrol,Manual,1,1799,130.0,5,13.5,395000.0,36600,1425000
140,New C-Class,MercedesBenz,2014,44965,Diesel,Automatic,1,2143,170.0,5,19.27,1795000.0,650000,7000000
141,Amaze SX,Honda,2014,45044,Diesel,Manual,1,1498,98.6,5,25.8,370000.0,42830,889000
142,Swift VVT,Maruti,2016,34204,Petrol,Manual,1,1197,81.8,5,22.0,543000.0,39160,775000
143,Santro Xing,Hyundai,2008,80759,Petrol,Manual,3,1086,74.0,5,17.0,167000.0,26130,500000
144,Fortuner 3.0,Toyota,2012,91235,Diesel,Manual,1,2982,171.0,7,11.5,1349000.0,180000,4500000
145,Beat LT,Chevrolet,2014,38800,Petrol,Manual,1,1199,76.8,5,18.6,285000.0,16500,500000
146,Rapid 1.5,Skoda,2013,83000,Diesel,Manual,1,1498,103.52,5,21.14,475000.0,35130,1200000
147,Ciaz 1.4,Maruti,2018,41283,Petrol,Manual,1,1373,91.1,5,20.73,990000.0,32235,1030000
148,RS5 Coupe,Audi,2013,23000,Petrol,Automatic,1,2894,444.0,4,11.05,3700000.0,540000,11300000
149,3 Series,BMW,2014,48000,Diesel,Automatic,1,1995,190.0,5,21.76,2650000.0,450000,5500000
150,A4 2.0,Audi,2015,48214,Diesel,Automatic,1,1968,174.33,5,17.11,2332000.0,275000,5000000
151,Swift VDI,Maruti,2016,35000,Diesel,Manual,1,1248,74.0,5,22.9,625000.0,39160,775000
152,S Class,MercedesBenz,2010,35277,Petrol,Automatic,1,5461,362.9,5,7.81,3000000.0,1000000,18000000
153,Rapid 1.5,Skoda,2016,54620,Diesel,Automatic,1,1498,103.52,5,21.66,986000.0,35130,1200000
154,Superb Elegance,Skoda,2012,136997,Diesel,Automatic,1,1968,138.1,5,17.2,850000.0,250000,5400000
155,EON Magna,Hyundai,2019,14322,Petrol,Manual,1,814,55.2,5,21.1,423000.00000000006,25000,400000
156,Polo Diesel,Volkswagen,2012,65634,Diesel,Manual,1,1199,73.9,5,22.07,350000.0,31360,800000
157,GO NXT,Datsun,2016,6000,Petrol,Manual,1,1198,67.06,5,20.63,250000.0,20000,500000
158,Brio S,Honda,2013,33280,Petrol,Manual,1,1198,86.8,5,19.4,239000.0,25000,500000
159,B Class,MercedesBenz,2013,29000,Petrol,Automatic,1,1595,120.7,5,14.8,1125000.0,200000,3200000
160,City i,Honda,2015,42831,Diesel,Manual,1,1498,98.6,5,26.0,711000.0,36600,1425000
161,Innova 2.5,Toyota,2016,90000,Diesel,Manual,1,2494,100.6,7,12.99,1090000.0,85000,2000000
162,Swift VXI,Maruti,2017,24005,Petrol,Manual,1,1197,81.8,5,20.4,620000.0,39160,775000
163,XUV500 W8,Mahindra,2012,32792,Diesel,Manual,1,2179,140.0,7,15.1,790000.0,37637,1600000
164,Ecosport 1.5,Ford,2014,147898,Diesel,Manual,1,1498,89.84,5,22.7,442000.0,47435,1100000
165,Fortuner 4x2,Toyota,2012,131765,Diesel,Manual,1,2982,168.5,7,13.0,1350000.0,180000,4500000
166,Vento 1.5,Volkswagen,2013,65000,Diesel,Automatic,1,1498,108.5,5,21.5,625000.0,35484,1300000
167,Figo Diesel,Ford,2010,66123,Diesel,Manual,2,1399,68.0,5,20.0,210000.0,34697,700000
168,X5 xDrive,BMW,2015,41000,Diesel,Automatic,1,2993,258.0,5,15.3,4500000.0,600000,10500000
169,New C-Class,MercedesBenz,2017,23550,Diesel,Automatic,1,2143,167.62,5,19.27,3365999.9999999995,650000,7000000
170,Brio V,Honda,2012,45000,Petrol,Manual,2,1198,86.8,5,19.4,365000.0,25000,500000
171,i10 Magna,Hyundai,2013,60000,Petrol,Manual,1,1197,78.9,5,20.36,275000.0,22600,725000
172,GLC 220,MercedesBenz,2016,44414,Diesel,Automatic,1,2143,170.0,5,17.9,4250000.0,500000,5500000
173,Grand i10,Hyundai,2019,1000,Petrol,Manual,1,1197,81.86,5,18.9,650000.0,22600,725000
174,A6 2011-2015,Audi,2012,62500,Diesel,Automatic,2,1968,174.33,5,17.68,1900000.0,350000,6500000
175,Vento Petrol,Volkswagen,2013,21000,Petrol,Automatic,2,1598,103.6,5,14.4,445000.0,35484,1300000
176,Countryman Cooper,Mini,2017,8525,Diesel,Automatic,2,1998,112.0,5,16.6,2300000.0,350000,4500000
177,i20 Asta,Hyundai,2014,29000,Diesel,Manual,1,1396,88.73,5,22.54,835000.0,27500,725000
178,A6 2011-2015,Audi,2014,40000,Diesel,Automatic,1,1968,174.33,5,17.68,2295000.0,350000,6500000
179,Beat Diesel,Chevrolet,2012,88000,Diesel,Manual,1,936,57.6,5,25.44,150000.0,16500,500000
180,Superb Elegance,Skoda,2012,53537,Petrol,Automatic,1,1798,157.75,5,13.7,689000.0,250000,5400000
181,Fiesta 1.4,Ford,2006,216000,Diesel,Manual,2,1399,68.0,5,17.8,145000.0,35000,900000
182,5 Series,BMW,2014,51000,Diesel,Automatic,1,1995,190.0,5,22.48,3350000.0,500000,7200000
183,Optra Magnum,Chevrolet,2007,118500,Petrol,Manual,1,1598,102.5,5,12.9,125000.0,27000,800000
184,Polo Diesel,Volkswagen,2012,63000,Diesel,Manual,1,1199,73.9,5,22.07,420000.0,31360,800000
185,Lodgy 110PS,Renault,2015,25000,Diesel,Manual,1,1461,108.5,8,19.98,675000.0,50000,1100000
186,E-Class E250,MercedesBenz,2014,37382,Diesel,Automatic,1,2143,201.1,5,13.0,3200000.0,600000,8000000
187,Baleno Alpha,Maruti,2017,24773,Petrol,Manual,1,1197,83.1,5,21.4,750000.0,32000,825000
188,Verna 1.6,Hyundai,2012,62000,Diesel,Manual,1,1582,126.32,5,22.32,459999.99999999994,37450,1425000
189,i10 Magna,Hyundai,2017,52340,Petrol,Manual,1,1086,68.05,5,19.81,404000.0,22600,725000
190,Scorpio 1.99,Mahindra,2016,56739,Diesel,Manual,1,1997,120.0,7,15.4,1031000.0,60000,1500000
191,Rover Range,Land,2018,36091,Diesel,Automatic,1,2179,187.7,5,12.7,5576000.0,1600000,30000000
192,Figo Diesel,Ford,2010,120000,Diesel,Manual,1,1399,68.0,5,20.0,260000.0,34697,700000
193,Ertiga ZDI,Maruti,2016,33000,Diesel,Manual,1,1248,88.5,7,25.47,850000.0,49850,1050000
194,Amaze S,Honda,2014,52000,Diesel,Manual,1,1498,98.6,5,25.8,350000.0,42830,889000
195,i10 Magna,Hyundai,2015,43571,Petrol,Manual,1,1197,78.9,5,20.36,355000.0,22600,725000
196,Amaze S,Honda,2013,50000,Diesel,Manual,1,1498,98.6,5,25.8,325000.0,42830,889000
197,Laura Ambiente,Skoda,2008,113000,Diesel,Manual,1,1896,106.0,5,17.5,450000.0,75000,1700000
198,Duster 85PS,Renault,2014,90000,Diesel,Manual,1,1461,83.8,5,19.87,535000.0,35700,1250000
199,NuvoSport N6,Mahindra,2017,29000,Diesel,Manual,2,1493,100.0,7,17.45,650000.0,35000,900000
200,Vitara Brezza,Maruti,2016,20000,Diesel,Manual,1,1248,88.5,5,24.3,900000.0,39170,1125000
201,i20 Asta,Hyundai,2016,61012,Petrol,Manual,1,1197,81.83,5,18.6,600000.0,27500,725000
202,Fabia 1.4,Skoda,2009,87459,Petrol,Manual,1,1390,85.0,5,14.7,275000.0,30000,600000
203,Indigo eCS,Tata,2010,70500,Petrol,Manual,1,1193,64.1,5,15.64,150000.0,30000,600000
204,Q3 2012-2015,Audi,2015,64103,Diesel,Automatic,1,1968,174.33,5,15.73,1989999.9999999998,225000,3500000
205,Octavia Elegance,Skoda,2014,76000,Petrol,Automatic,1,1798,177.5,5,14.7,1000000.0,140000,3000000
206,Etios Liva,Toyota,2014,104000,Diesel,Manual,1,1364,67.06,5,23.59,300000.0,25000,700000
207,B Class,MercedesBenz,2014,37245,Petrol,Automatic,1,1595,120.7,5,14.8,1196000.0,200000,3200000
208,Amaze S,Honda,2013,45000,Diesel,Manual,1,1498,98.6,5,27.4,325000.0,42830,889000
209,Verna 1.6,Hyundai,2012,117837,Diesel,Manual,2,1582,126.32,5,22.32,475000.0,37450,1425000
210,Duster 85PS,Renault,2014,30000,Diesel,Manual,1,1461,83.8,5,20.46,595000.0,35700,1250000
211,Creta 1.6,Hyundai,2015,27057,Petrol,Manual,2,1591,121.3,5,15.29,815000.0,38536,1500000
212,Wagon R,Maruti,2016,8500,Petrol,Automatic,1,998,67.0,5,20.51,422000.0,27670,750000
213,New C-Class,MercedesBenz,2010,30500,Petrol,Automatic,1,1796,186.0,5,11.74,1050000.0,650000,7000000
214,A8 L,Audi,2012,56000,Diesel,Automatic,1,2967,246.7,5,11.8,4500000.0,375000,14200000
215,i10 Magna,Hyundai,2012,44000,Petrol,Manual,2,1086,68.05,5,19.81,290000.0,22600,725000
216,Rapid 1.6,Skoda,2017,10500,Petrol,Automatic,1,1598,103.52,5,14.3,890000.0,35130,1200000
217,Superb Style,Skoda,2017,26000,Petrol,Automatic,1,1798,177.46,5,14.67,2600000.0,250000,5400000
218,i20 Active,Hyundai,2018,25166,Petrol,Manual,1,1197,81.86,5,17.19,822000.0000000001,27500,725000
219,Amaze VX,Honda,2014,64000,Diesel,Manual,2,1498,98.6,5,25.8,350000.0,42830,889000
220,Wagon R,Maruti,2004,61000,Petrol,Manual,2,998,67.1,5,18.9,125000.0,27670,750000
221,Verito 1.5,Mahindra,2013,107000,Diesel,Manual,1,1461,65.0,5,21.03,370000.0,40000,1000000
222,New C-Class,MercedesBenz,2018,29161,Diesel,Automatic,1,2143,167.62,5,19.27,3940999.9999999995,650000,7000000
223,Wagon R,Maruti,2013,32000,Petrol,Manual,1,998,67.04,5,22.5,265000.0,27670,750000
224,Terrano XV,Nissan,2015,46173,Diesel,Manual,2,1461,108.5,5,19.01,892000.0,60000,1200000
225,Swift VDI,Maruti,2013,47000,Diesel,Manual,1,1248,74.0,5,17.8,409999.99999999994,39160,775000
226,Cooper Convertible,Mini,2017,26327,Petrol,Automatic,1,1998,189.08,4,16.82,3567000.0,350000,4500000
227,Indica V2,Tata,2007,200000,Diesel,Manual,2,1396,53.5,5,17.2,85000.0,25000,500000
228,Beat LT,Chevrolet,2016,60813,Petrol,Manual,2,1199,76.8,5,18.6,332000.0,16500,500000
229,Polo Diesel,Volkswagen,2012,45000,Diesel,Manual,1,1199,73.9,5,22.07,360000.0,31360,800000
230,Swift ZDi,Maruti,2016,64000,Diesel,Manual,1,1248,74.0,5,22.9,680000.0,39160,775000
231,Figo Diesel,Ford,2012,41284,Diesel,Manual,1,1399,68.05,5,20.0,250000.0,34697,700000
232,Innova Crysta,Toyota,2019,14165,Diesel,Automatic,1,2755,171.5,7,11.36,1964000.0,55000,1999000
233,Santa Fe,Hyundai,2011,67000,Diesel,Automatic,2,2199,194.3,7,11.72,700000.0,100000,3200000
234,City i-VTEC,Honda,2011,32572,Petrol,Manual,1,1497,117.3,5,17.4,387000.0,36600,1425000
235,i20 1.2,Hyundai,2018,14960,Petrol,Manual,1,1197,81.83,5,18.6,627000.0,27500,725000
236,New C-Class,MercedesBenz,2015,55980,Diesel,Automatic,1,2143,167.62,5,19.27,1812000.0,650000,7000000
237,Beat Diesel,Chevrolet,2013,74000,Diesel,Manual,1,936,57.6,5,25.44,265000.0,16500,500000
238,i20 Sportz,Hyundai,2015,56847,Diesel,Manual,1,1396,88.73,5,22.54,720000.0,27500,725000
239,Innova 2.5,Toyota,2015,121374,Diesel,Manual,1,2494,100.6,7,12.99,1430000.0,85000,2000000
240,Ertiga VDI,Maruti,2013,52000,Diesel,Manual,1,1248,88.76,7,20.77,690000.0,49850,1050000
241,Innova 2.5,Toyota,2014,118000,Diesel,Manual,1,2494,102.0,7,12.8,1075000.0,85000,2000000
